record_id,date,description,Matches Homeless/Encampment Filter,Camp,Vehicle,Individual,Active Camp,Abandoned Camp,Transient Camp,Abandoned Vehicle,Mental Health Crisis,Neutral Presence,Daily Activities,Using Drugs,geometry
990,2020-12-21 11:10:00,Large homeless encampment- growing by the day,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.146541894 32.7526165360001)
63923,2023-12-17 23:51:00+00:00,"At the very end of the alley between Albatross Street and Florence Elementary School/Front Street. Encampment is against fence at the end, partially obstructed by a utility box, almost impeding entry/exit from apartments.",True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1656023 32.7490882642567)
21877,2023-05-21 10:39:00+00:00,Homeless encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1574666 32.7141545623067)
14113,2021-05-21 17:12:00,Encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.248655555 32.754676411)
62556,2023-12-11 23:13:00+00:00,homeless andaz,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1587941 32.7138553)
17286,2020-08-25 08:45:00,Homeless keep dumping their trash an sleeping,True,True,False,False,False,False,False,False,False,True,False,False,POINT (-117.1444352 32.7532186)
5996,2023-02-06 19:46:00+00:00,Encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1482242 32.7121191418117)
51190,2022-11-12 15:37:00,Homeless camp increaseing daily.  One of theshomeless men broke into my property threatening me and then returning to these camps.,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1465519 32.7075283)
46317,2022-10-08 23:24:00,Encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.122543491 32.750022863)
3079,2023-01-25 22:33:00+00:00,Homeless Encampments are back and quickly multiplying!,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1499322 32.7136267284713)
16027,2022-04-23 09:02:00,Enlarging encampment - encroaching driveway entrance,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.079575192 32.7498001280001)
50180,2022-11-10 07:20:00,Homeless encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.159287982 32.7229818160001)
17364,2020-08-20 12:09:00,Homeless encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.225640001 32.8440767060001)
20443,2023-05-16 11:59:00+00:00,Encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1573751 32.7141989718266)
1682,2023-01-11 20:03:00+00:00,"Homeless blocking entire sidewalk, wheelchairs from our residents cannot get by",True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1579513 32.7147144825441)
63939,2023-12-18 02:53:00+00:00,Encampment on the sidewalk.,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1519559 32.7105608962503)
56338,2023-11-12 07:50:00+00:00,Encampents on 8th Street,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1573103 32.7152484)
36624,2023-08-06 16:46:00+00:00,Encampment originally reported as GID #04315990 still exists and is starting to spread up the canyon.  Adding some additional pictures that were taken on 8/6/2023.  This is an active encampment that was inhabited when these pictures were taken.,True,True,False,False,True,False,False,False,False,False,False,False,POINT (-117.1007746 32.7592556192979)
38843,2023-08-14 21:13:00+00:00,"Tent setup on ground by 11th and Park, drug use is apparent",True,True,False,False,False,False,False,False,False,False,False,True,POINT (-117.1538601 32.708301552887)
5279,2023-02-08 20:34:00+00:00,Homeless encampment in canyon behind Jehovah's church - 3rd time reporting this,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.0882048 32.7350123552036)
60448,2023-12-02 22:35:00+00:00,"Homeless encampment blocking sidewalk, drug use",True,True,False,False,False,False,False,False,False,False,False,True,POINT (-117.1517739 32.7083963907377)
19188,2020-09-14 16:58:00,Back alley encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1638133 32.74928887)
22168,2022-05-31 16:12:00,Large encampment - trash and harassment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.145062229 32.7342783330001)
29580,2022-06-30 06:30:00,Multiple large encampments blocking the throughway access on the MLK bike path Counting 8 separate encampments  spanning 100 yards blocking an entire lane with some stretching into the other lane. With Large amounts of debris scattered throughout. Two en,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.162829489 32.7084970670001)
16565,2022-04-15 14:20:00,Homeless encampment blocking public sidewalk,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.15790737 32.713578725)
1049,2021-12-16 08:34:00,Encampment impeding sidewalk access,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.157367533 32.7160618130001)
12647,2023-03-26 14:39:00+00:00,Encampment impeding sidewalk,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1496825 32.7127291156915)
55824,2023-11-06 15:59:00+00:00,Homeless encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1519976 32.7063901485697)
5866,2022-01-26 15:05:00,Homeless encampment between famousa slough and the 8 eastbound freeway.,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.228553444 32.7563993360001)
18395,2021-06-29 09:47:00,ENCAMPMENT FIRE ///// RP IS SDFD ///// NO CONTACT NEEDED...,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.204339392 32.757832255)
285,2021-11-30 12:54:00,"Homeless people camp and mess all around our business. They camp, talk and fight - not safety while we'r doing business./",True,True,False,False,False,False,False,False,False,False,True,False,POINT (-117.149156369 32.708562409)
24741,2022-06-11 15:55:00,Encampment abandoned on a state owned parking lot. Located on the NE corner of State and A st. with signs posted stating NO trespassing and NO Camping a a relatively large encampment 10x9? taking up 90 square feet,True,True,False,False,False,True,False,True,False,False,False,False,POINT (-117.166330866 32.718912807)
24675,2020-11-27 03:29:00,Homeless chop shop for bikes drug use trash everywhere. Off of the 163 Offramp under the Warwick apartments north side and above the Scripps lower parking lot,True,True,False,False,False,False,False,False,False,False,False,True,POINT (-117.159274178 32.7503667710001)
11401,2022-03-10 07:50:00,Illegal encampments next to children?s playground,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.15868758 32.7397757960001)
55911,2022-12-27 13:53:00,Homeless encampment building back up again on Park Blvd. Please clear this mess before it gets out of hand again.,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.153825344 32.7151635060001)
55362,2022-12-18 09:31:00,Homeless encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.158239703 32.714417634)
