date,description,Camp,geometry
2021-01-07,Two Homeless living in a blue van with a dog for weeks . Kicked out of Starbucks and now residing on street. Appears angry & high,True,POINT (-117.248251935 32.8512191290001)
2020-12-17,Crazy Homeless guy living on sidewalk for past several months. Leaves garbage everywhere. Threatened my wife while walking home.,True,POINT (-117.24275708 32.7991914300001)
2021-01-08,Several encampments on both sides of the bride on 17th and Island.,True,POINT (-117.148355616 32.710431054)
2021-01-08,multiple active homeless encampments,True,POINT (-117.157376098 32.7141914850001)
2021-01-08,multiple active homeless encampments,True,POINT (-117.157376098 32.7141914850001)
2020-12-17,Homeless encampment,True,POINT (-117.141612119 32.914104093)
2020-12-17,3 homeless encampments. Pd says they went there and didn't see anyone. There are people there that need to be removed.,True,POINT (-117.23252043 32.74493382)
2021-01-08,Multiple tents setup along side of the business. Blocking sideways access to the public.,True,POINT (-117.150622566 32.7127318490001)
2021-01-08,Active encampment on six Avenue between F St and G St. Several complaints from residents about noise disturbances in the late night hours.,True,POINT (-117.15937783 32.7127033300001)
2020-12-17,"Encampment beneath the large lemonade berry on the hillside near the Whittier St gate to Point Loma NPG. Maybe 8-10 bags of personal items, bedding and trash. Looks like it's occupied though no one present this morning.-Encampment occupied on 1/22",True,POINT (-117.234358164 32.7462768550001)
2020-12-17,Encampments on bridge next to park,True,POINT (-117.109462993 32.753189079)
2021-01-08,Got a large encampment on the bike path blocking half of the access,True,POINT (-117.16153617 32.7079716700001)
2020-12-17,Large homeless encampment on sidewalk of overpass on Orange Avenue and I-15 freeway,True,POINT (-117.108803812 32.75324907)
2021-01-08,Abandoned encampment by Tower 5 Ocean Beach at fore ring,True,POINT (-117.252453006 32.754112402)
2020-12-17,"Apparently the encampment has been there about 4 months, there are tents, dogs, strollers and lots of human waste.  The neighbors nearby contacted us to let us know, they are the Oropeza Family and can be reached at 619-921-7065.  They have video tape of",True,POINT (-117.189796 32.8316540000001)
2021-01-08,Abandoned encampment,True,POINT (-117.249681674 32.754795384)
2020-12-17,Giant homeless encampment set up with Furniture and luggage. I shouldn't have to walk through human feces and urine to check my mail. The people are also gathering in groups without masks on and potentially could be spreading Covid.,True,POINT (-117.15695833 32.7147216700001)
2020-12-17,Large encampment impeding sidewalk access.,True,POINT (-117.156237197 32.7167184570001)
2021-01-08,Abandoned encampment,True,POINT (-117.251135586 32.7548289850001)
2020-12-17,"Illegal homeless junkies always standing, illegal loitering and blocking the mall access. This Midway mall is infested with homeless and junkies, using drugs and intimidating people around, while 7 eleven and other stores do nothing to resolve the proble",True,POINT (-117.20891364 32.7495124800001)
2020-12-17,Guy has been on the sea side of the wall in from of of surf shop for 2 weeks and won't leave. camp covered with umbrellas.,True,POINT (-117.25545131 32.79178252)
2021-01-08,"This area was cleared earlier this week, but an urban camper has returned with new possessions all over the public right of way.",True,POINT (-117.0642544 32.7618708800001)
2020-12-17,Large encampment on 15th island individuals were loitering and camping and leaving items and stuff all around.,True,POINT (-117.150389908 32.71102152)
2021-01-08,Large encampment of 10+ individuals,True,POINT (-117.149447106 32.835834069)
2021-01-08,Camp in disused patio,True,POINT (-117.162821201 32.7485006200001)
2020-12-18,There is an encampment and the individual are refusing to relocate with all their stuff out in the middle of the sidewalk,True,POINT (-117.1502695 32.71077833)
2021-01-08,Encampment,True,POINT (-117.242455 32.75091667)
2020-12-18,Homeless encampment under the Christmas tree,True,POINT (-117.25278586 32.7480664600001)
2021-01-08,Camp on steps at business,True,POINT (-117.162714795 32.7497886800001)
2020-12-18,On Mesa approx 300 yds north of playground of CPMA school on Conrad Ave.  Often used encampment.,True,POINT (-117.182715917 32.8417968750001)
2020-12-18,Encampment deep in canyon. Litter strewn everywhere.,True,POINT (-117.170984402 32.7520597120001)
2020-12-30,Homeless encampment fire in alley behind 3548.  Rp is sdfd,True,POINT (-117.161704078 32.742339981)
2021-01-08,"Older homeless people have been starting small fires on the sidewalk and against a vacant building the last couple of days, including right now. It looks like a cooking fire but they're doing right against the building.",True,POINT (-117.160167015 32.723479148)
2021-01-08,Large encampment of transients blocking the sidewalk at Post Office.  Long-term issue.  Visitors are forced to walk in street to get around.  Social distancing in not possible.,True,POINT (-117.156637637 32.714302205)
2021-01-08,Homeless,True,POINT (-117.092337198 32.755493164)
2021-01-08,"Illegal homeless loitering on the sidewalk. The Midway District is infestated with junkies, trash, drugs,etc and nothing is done!!!",True,POINT (-117.2082446 32.7502175000001)
2021-01-08,Encampment w trash galore coming down from tree...fire hazard and possible hazmat situation!!,True,POINT (-117.141788397 32.701095901)
2021-01-08,"Fence under freeway walking pass still hanging by a thread...encampment puts boards up for ""privacy""...trash all over the place...sad to see the city going down the crapper...",True,POINT (-117.145437796 32.702891832)
2021-01-08,There's a small city of homeless people with all of their junk on top of the hill. This is horrible,True,POINT (-117.124625214 32.7555812420001)
2021-01-08,"There's a huge transient camp on F street between 8 and 7 ave.
Transients have been there for a long time. Please relocate both sides of the street.",True,POINT (-117.157900162 32.713597759)
2021-01-08,"The homeless decided to
Set up a
Lounge in front of our Businesses. Can someone please remove this garbage asap. Also the Bridge is disgusting with Trash, Urine, vomit homeless people etc. Is not COVID an issue amongst the homeless?!",True,POINT (-117.14845388 32.7103793430001)
2021-01-08,"Homeless encampment on MLK Bike path south side of Gaslamp Hilton From 5 th n L to 1st n J , need removal from environmental services",True,POINT (-117.16153617 32.70799667)
2021-01-08,He has been setting up a tent at night and he won't move.,True,POINT (-117.18826333 32.83419667)
2021-01-08,"I safety ambassador Rodriguez conducted a security check on G and 15th, while conducting my security check I noticed several individuals camped out on the Smart and Final building preventing sidewalk access. No further comment.",True,POINT (-117.150783963 32.7126991270001)
2021-01-08,"Parking enforcement was issuing tickets for expired tags on Hurlbut, but missed the RV encampment with an expired tag in the public parking area.",True,POINT (-117.14671087 32.80499344)
2021-01-08,Huge encampment blocking sidewalks. Human feces smeared all over the street. It's sad.,True,POINT (-117.147765598 32.7104611120001)
2021-01-08,Homeless man forming a camp in our Medical Dental building alleyway.,True,POINT (-117.1588114 32.7986773000001)
2021-01-08,"1400 As a safety ambassador I approached the encampments of 5 individuals an AAF, 2 AHM, and 2 ACM loitering and impeding the sidewalk access. I asked the individuals to relocate but they refused to comply and I immediately called the sdpd non-emergency,",True,POINT (-117.150279859 32.7133946320001)
2021-01-08,"The issue is on the side of the building that is on 29th street. The encampment is between the storage containers on 29th street and the side of the building, also these people are occupying the building's stairwells.",True,POINT (-117.131383 32.7481756)
2021-01-08,"As a safety ambassador I conducted a service call, security check, and safety check on G street between 15th & 14th street of encampment. I asked the 7 individuals an ABF, 2 ACF, & ACM  to relocate but refused to comply.",True,POINT (-117.151096661 32.71271592)
2021-01-08,Homeless encampment in gray utility structure located at end of cul-d-sac.,True,POINT (-117.093729315 32.6919164070001)
2021-01-08,"Large encampment , individuals refusing to leave, taking up walking access and leaving items and trash around , I need these individuals to relocate .",True,POINT (-117.157412 32.7136316)
2021-01-08,"As a safety ambassador I conducted a safety check, and security check on southeast corner of 6th & G Street of Double Standard restaurant. While, conducting security check I noticed an abandoned encampment inside the patio area.",True,POINT (-117.159021032 32.712501294)
2021-01-08,Homeless encampment at Mission Bay Park next to bathroom.,True,POINT (-117.23294667 32.7826200000001)
2021-01-08,1550 Abandoned Encampment on G street between 15th & 14th street.,True,POINT (-117.151096674 32.7126899990001)
2021-01-08,Abandoned encampment on G street between 15th & 14th street of Smart & Final.,True,POINT (-117.151090987 32.7127021360001)
2021-01-08,Encampment and dumping in the canyon.,True,POINT (-117.16523085 32.7450838400001)
2021-01-08,Encampment on Island av between 17th st and 19th st please relocate to local shelter thank U,True,POINT (-117.147185457 32.7104617960001)
2021-01-08,Encampment Corner of Island Av And 17th st in the Grant Hill neighborhood,True,POINT (-117.135901483 32.7106428120001)
2021-01-08,"Homeless sleeping at Marston House front terrace 
Same gentleman.  Multiple reports 6+
Others off to the left.
This is really a dark photo. Phone made it look bright.",True,POINT (-117.157725471 32.7416737240001)
2021-01-08,Homeless encampment in empty lot. Lighting fires at night. Moving more junk in and more people have been seen occupying. Camp is growing and junk is accumulating.  Occupants have been witnessed yelling and acting strange.,True,POINT (-117.112330774 32.7047333300001)
2021-01-08,Homeless encampment with fires burning regularly. Occupants seem hostile and shouting while wandering surrounding area near where children play.,True,POINT (-117.112170977 32.7046984620001)
2021-01-08,Homeless person living in car   PARKED IN A RED ZONE using the street and landscaping for a bathroom   PLEASE REMOVE,True,POINT (-117.078567306 32.758345988)
2021-01-08,Encampment with people urinating on buildings and sidewalk.,True,POINT (-117.115113697 32.7011734320001)
2021-01-08,There are several people camping in the area. One of the guy randomly yells and cuss for no reason and it's is very disturbing.  My neighbor who runs an auto repair shop does not like the camping in front of his business as customer are concerned for the,True,POINT (-117.1095848 32.7542496)
2021-01-08,1830 Abandoned encampment on G street between 15th & 14th street of Smart & Final sidewalk.,True,POINT (-117.150958702 32.712704359)
2021-01-08,Multiple encampments that are impeding sidewalk access.,True,POINT (-117.150331668 32.713538579)
2021-01-08,"Dusty Rhodes Park playground is becoming a habitation area for men between ages 20 and 60 to encamp, litter and distribute substances.  Food waste from extended habitation litters the area, homeless individuals lay claim to all  the picnic areas forcing",True,POINT (-117.2386788 32.7521928)
2021-01-08,Encampment block sidewalk access,True,POINT (-117.064265241 32.761974485)
2021-01-08,"Encampment, trash and shopping cart corner of Rosecrans & Midway",True,POINT (-117.20650937 32.7500629)
2021-01-08,Encampment picture was taken late afternoon when they were organizing see if we can get them into the shelter as they are camping out in Direct danger from  the traffic exiting the I5,True,POINT (-117.14845027 32.7067610830001)
2021-01-08,Encampment at the John P Baca Park,True,POINT (-117.171066783 32.7856076200001)
2021-01-08,A bunch of tents and makeshift shelters for bums underneath the freeway overpasses.,True,POINT (-117.121906721 32.692909844)
2021-01-08,"Bearded homeless man, often drinking.  Chronic Day Camper on the Glenfield St. side of Fairmount SuperMercado parking lot.  Fairmount Super Mercado address is 3086 Fairmount, located at Fairmount and Poplar.",True,POINT (-117.10129965 32.7387249000001)
2021-01-09,"I previously reported this abandoned camp on G.I.D. report #03195221.  I had erroneously placed the map pin approximately 30 feet east of the camp.  My apologies.    One attached photo shows the camp,  The other photo shows a lamp post and tree as you lo",True,POINT (-117.07547266 32.736007425)
2021-01-09,Encampment with a lot of night activity. Possible camp fire,True,POINT (-117.1552576 32.7517992100001)
2021-01-09,Camped on city property near public restroom,True,POINT (-117.2547186 32.7908533)
2021-01-09,Large years long camp.  Huge piles of trash some being thrown as passing cars again.,True,POINT (-117.161263319 32.750044605)
2021-01-09,"Frequent camper on cliffs above Nimitz. If you zoom in, you probably will recognize him.",True,POINT (-117.23455833 32.74725333)
2021-01-09,Homeless encampment forming in back alley. More and more trash piling up in abandoned house.,True,POINT (-117.12272923 32.71128559)
2021-01-09,Encampment pushes peds off sidewalk into cw bay and street! Danger!!,True,POINT (-117.24645384 32.75232436)
2021-01-09,Older white homeless couple camped put on sidewalk until night time and move their belongings to camp out in between the bushes and green box next to McDonald's. Multiple officers and security guards have talked to them. Property management wants them aw,True,POINT (-117.01168478 32.80189775)
2021-01-09,Large camp avian,True,POINT (-117.15918529 32.7482783450001)
2021-01-09,Encampment.  2nd request. This is adjacent to Rite Aid on east side.,True,POINT (-117.23947909 32.80169484)
2021-01-09,"the Boardwalk from around Felspar to Grand St. has had several homeless encampments for over 3 months.  Sometimes the folks are loud and aggressive towards those passing by.  Also, their belongings left in large piles create more of a health issue, espec",True,POINT (-117.256404815 32.79529783)
2021-01-09,Encampment on G and 15th,True,POINT (-117.1500695 32.7132866700001)
2021-01-09,"Encampment taking up walkway access on 17th island ave , these individuals refusing to leave, need them relocated please",True,POINT (-117.1639538 32.7102587000001)
2021-01-09,"Encampment taking up walkway access on 17th island ave , these individuals refusing to leave, need them relocated please",True,POINT (-117.1639538 32.7102587000001)
2021-01-09,"Access riverbed at Fenton Pkwy. From under trolley bridge, head south down foot path that is located just west of 2nd bridge column from the east. Just before the river, follow foot path to the west. Encampment hidden in vegetation to the north of the tr",True,POINT (-117.128038626 32.7771761430001)
2021-01-09,1355 Encampments of 5-7 individuals loitering and impeding sidewalk access.,True,POINT (-117.150298048 32.713525647)
2021-01-09,"There is an ongoing issue with homeless people setting up encampments behind our property. We need some help in creating this area inhospitable. It's a major fire hazard, unsanitary, and has created an uptick in car and home thefts.",True,POINT (-117.109324947 32.780615869)
2021-01-09,Encampment homeless have returned and reported several times.  He's left trash and uses the sidewalk for urination.  This group has been reported for several times when we got the area finally cleaned up now they return.  We are a Senior residence across,True,POINT (-117.16315817 32.72054711)
2021-01-09,"Drug addicts camp blocking alley between First, Third, Robinson, and University",True,POINT (-117.163352658 32.7471418050001)
2021-01-09,"Encampment, lots of bikes, lots of visitors",True,POINT (-117.164349403 32.720630347)
2021-01-09,Homeless items. Behind the construction zone,True,POINT (-117.251562426 32.754473719)
2021-01-09,Camp on the sand behind the Bahia,True,POINT (-117.24664897 32.77285047)
2021-01-09,"Please please have someone come to kick out the homeless living outside the church across the street from my apartment. It's been weeks and weeks . I don't feel safe walking to/ from my home . There's garbage all over , tents, loud arguments, and other d",True,POINT (-117.246930908 32.799721214)
2021-01-09,Please note that these are the same repeat offenders camping in the park and posting up tents.,True,POINT (-117.195862086 32.758129792)
